@relation restaurant_data
@attribute alt {Yes,No}
@attribute bar {Yes,No}
@attribute fri {Yes,No}
@attribute hun {Yes,No}
@attribute pat {Some,Full,None}
@attribute price {$,$$,$$$}
@attribute rain {Yes,No}
@attribute res {Yes,No}
@attribute type {French,Thai,Burger,Italian}
@attribute est {<10,10-30,30-60,>60}
@attribute will_wait {Yes,No}
@data
Yes,No,No,Yes,Some,$$$,No,Yes,French,<10,Yes
Yes,No,No,Yes,Full,$,No,No,Thai,30-60,No
No,Yes,No,No,Some,$,No,No,Burger,<10,Yes
Yes,No,Yes,Yes,Full,$,Yes,No,Thai,10-30,Yes
Yes,No,Yes,No,Full,$$$,No,Yes,French,>60,No
No,Yes,No,Yes,Some,$$,Yes,Yes,Italian,<10,Yes
No,Yes,No,No,None,$,Yes,No,Burger,<10,No
No,No,No,Yes,Some,$$,Yes,Yes,Thai,<10,Yes
No,Yes,Yes,No,Full,$,Yes,No,Burger,>60,No
Yes,Yes,Yes,Yes,Full,$$$,No,Yes,Italian,10-30,No
No,No,No,No,None,$,No,No,Thai,<10,No
Yes,Yes,Yes,Yes,Full,$,No,No,Burger,30-60,Yes
